Laboratory_number;Radiocarbon age (years BP);Error;delta_C13;delta_N15;C:N;%C;%collagen;Calculation details;Laboratory treatment;Calibration used;Dated material;Context;Site;Country;Source;Group;Subgroup;Notes
Poz-90898;3865;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);kurgan 2, feature 2;?ubcze 2;Poland;Linderholm et al. 2020 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Poz-90899;3875;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, ulna);"barrow 2; grave 3/W";?ubcze 25;Poland;"Linderholm et al. 2020; Machnik et al. 2009 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
Poz-25614;4045;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);kurgan 1, central grave 1;Klekacz 10;Poland;Machnik et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Poz-25616;3940;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 1, grave 8;Machn�wek 1;Poland;Machnik et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Ki-6894;4020;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 2, central grave 1;Nede?�w 22;Poland;Machnik et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Ki-8955;3845;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 1, grave 2;Wierszczyca 31;Poland;Machnik et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Ki-8952;3850;60;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);barrow 1, grave 4/5;Wierszczyca 31;Poland;Machnik et al. 2009 in Bourgeois et al. 2025, S1;CW;opp. GAC_E;
Ki-6889;3995;55;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);kurgan 1, grave 2;Hubinek 3;Poland;"Machnik et al. 2009; Jarosz and W?odarczak 2022 in Bourgeois et al. 2025, S1 ";CW;opp. GAC_E;
Poz-90896;3825;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, long bone);kurgan 1, grave 3;Hubinek 3;Poland;"Machnik et al. 2009; Jarosz and W?odarczak 2022 in Bourgeois et al. 2025, S1 ";CW;opp. GAC_E;
Poz-90897;3865;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, long bone);kurgan 1, grave 2;Hubinek 4;Poland;"Machnik et al. 2009; Jarosz and W?odarczak 2022 in Bourgeois et al. 2025, S1 ";CW;opp. GAC_E;
Poz-73135;4045;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Charcoal (Fraxinus excelsior, anatomy indet.);barrow 1, central grave (grave 95/1);Ul�w 3;Poland;"Moskal-del Hoyo et al. 2017; Niezabitowska-Wi?niewska and Wi?niewski 2011 in Bourgeois et al. 2025, S1";CW;opp. GAC_E;
MAMS-111771;4070;28;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 21505;Oechlitz;Germany;"Becker et al. 2015; Becker and Fr�hlich 2017a in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-18152;4047;19;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25686;Oechlitz;Germany;"Becker et al. 2015; Fr�hlich and Becker 2015 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-40716;4015;35;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 70036/ grave 2;Bad Lauchst�dt;Germany;"BBecker et al. 2015; Fr�hlich and W�stemann 2017; Schunke 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-17173;4027;20;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 15109;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-111739;4017;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 20020;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-111747;4022;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 20055;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-111775;3988;29;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25334;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-17087;4006;28;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25355;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-17181;4034;20;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25496;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-17073;3989;20;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25570;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-21691;4021;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 25815;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-17082;4015;23;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 26615;Oechlitz;Germany;"Becker et al. 2015; Menke et al. 2017 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-39548;4073;33;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 22;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-39552;4095;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 290;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-39553;4006;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 294;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-39549;4163;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 59;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-39550;3829;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 67;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-39547;3987;38;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 8;Karsdorf;Germany;Behnke 2014 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-34261;4113;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 172,1;Eulau 6;Germany;Brandt et al. 2013 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
KIA-29118;4009;32;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 174;Eulau 6;Germany;Brandt et al. 2013 in Bourgeois et al. 2025, S2;CW;opp. GAC_W;
KIA-29116;4078;31;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 66;Eulau 6;Germany;Brandt et al. 2013 in Bourgeois et al. 2025, S3;CW;opp. GAC_W;
KIA-26664;4027;34;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 103;Eulau 7;Germany;Brandt et al. 2013 in Bourgeois et al. 2025, S4;CW;opp. GAC_W;
KIA-29551;4127;25;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 95;Karsdorf;Germany;"Brandt et al. 2013; Behnke 2014 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-27878;3969;29;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 90;Eulau 6;Germany;"Brandt et al. 2013; Haak et al. 2008; Haak et al. 2010 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-34264;4078;30;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 93;Eulau 6;Germany;"Brandt et al. 2013; Haak et al. 2008; Haak et al. 2010 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-27852;4053;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 98;Eulau 6;Germany;"Brandt et al. 2013; Haak et al. 2008; Haak et al. 2010 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-27850;4073;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 99;Eulau 6;Germany;"Brandt et al. 2013; Haak et al. 2008; Haak et al. 2010 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-21488;4000;31;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 6236;Esperstedt;Germany;"Brandt et al. 2013; Haak et al. 2015 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-21487;3927;37;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 11, feature 6216;Esperstedt;Germany;"Brandt et al. 2013; Haak et al. 2015; Leinthaler et al. 2006a in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Erl-7779;3967;57;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);grave 25, feature 4179;Esperstedt;Germany;"Brandt et al. 2013; Mathieson et al. 2015 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
Erl-7042;3792;50;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 1266,1;Quedlinburg;Germany;"Brandt et al. 2013; Schwerdtfeger 2006 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-34184;3951;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, fibula);grave 22;Vele�ovice 1985;Czech Republic;"?i�m�? and Geisler 1998; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-34183;3986;26;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, fibula);grave 57;Vele�ovice 1985;Czech Republic;"?i�m�? and Geisler 1998; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
MAMS-34182;3988;27;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, fibula);grave 65;Vele�ovice 1985;Czech Republic;"?i�m�? and Geisler 1998; Pe�ka 2023, 121 fig. 2 in Bourgeois et al. 2025, S1";CW;opp. GAC_W;
KIA-41736;4203;32;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (Homo sapiens, anatomy indet.);feature 1581;Dr�bel (PA 14, Fst. 2);Germany;Deffner and Schmidt 2019 in Bourgeois et al. 2025, S1 ;CW;opp. GAC_W;
CRL-19317;3989;44;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Not reported;Calibrated using r5 atmospheric data and IntCal20 calibration curve (Reimer et al. 2020) in OxCal v4.4.4 (Bronk Ramsey 2021) ;Bone (artefact, Animal, anatomy indet.);object 79;Nezabylice;Czech Republic;Dobe� et al. 2020 in Bourgeois et al. 2025, S1;CW;opp. GAC_W;
